position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
295,0,0,0,0,0,0,0,0,0,0,0,0,-0.54753,0.537882,-1.019628,1.023918,-1.191861,1.191197,-0.797724,0.789358,-0.38696,0.390778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,-0.508927,0.499403,-0.978883,0.982852,-1.205219,1.205115,-0.840641,0.831971,-0.406836,0.410552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,-0.481969,0.472732,-0.948173,0.951834,-1.21271,1.212846,-0.872021,0.863269,-0.421843,0.42551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,-0.450293,0.441813,-0.907996,0.91122,-1.218618,1.218618,-0.911663,0.903152,-0.442698,0.446167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,-0.424295,0.416819,-0.868752,0.871476,-1.217711,1.217226,-0.946663,0.938922,-0.464588,0.467944,-0.026764,0.025934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,-0.403042,0.396962,-0.831429,0.83346,-1.211609,1.210326,-0.97802,0.971432,-0.4881,0.491268,-0.061421,0.059537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,-0.389101,0.384249,-0.804554,0.80619,-1.204181,1.202047,-0.999721,0.994048,-0.506846,0.509828,-0.091174,0.088514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,-0.371764,0.368474,-0.770032,0.770986,-1.190605,1.18762,-1.026323,1.022061,-0.533283,0.535845,-0.134138,0.130368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,-0.354027,0.352353,-0.736906,0.737121,-1.173852,1.170029,-1.050994,1.048096,-0.561462,0.563424,-0.178653,0.174042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,-0.333996,0.333799,-0.704838,0.704207,-1.154294,1.150078,-1.07416,1.072509,-0.591344,0.592488,-0.222507,0.217375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,-0.316303,0.317055,-0.681287,0.67996,-1.138179,1.133957,-1.090952,1.090031,-0.614908,0.615223,-0.253579,0.248349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,-0.287561,0.289291,-0.6504,0.647973,-1.115157,1.111418,-1.112684,1.11241,-0.647699,0.646711,-0.290643,0.285876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,-0.251954,0.254211,-0.619979,0.616229,-1.090881,1.088311,-1.134021,1.134051,-0.682051,0.679482,-0.321274,0.317708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,-0.211129,0.213511,-0.590136,0.584974,-1.065362,1.064519,-1.154451,1.154265,-0.71749,0.713189,-0.346197,0.344345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,-0.178499,0.180775,-0.568307,0.562048,-1.045308,1.045956,-1.168619,1.168135,-0.744431,0.73878,-0.361884,0.361636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,-0.134245,0.136141,-0.540231,0.532626,-1.017637,1.020333,-1.185707,1.184604,-0.780657,0.773324,-0.379982,0.38187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,-0.091355,0.092764,-0.513754,0.504901,-0.989007,0.993707,-1.20007,1.198255,-0.816785,0.807891,-0.396111,0.400171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,-0.05223,0.053124,-0.489098,0.479363,-0.959328,0.965718,-1.21117,1.208596,-0.852454,0.842245,-0.411719,0.417517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,-0.026779,0.027219,-0.471949,0.461787,-0.936369,0.943882,-1.217076,1.213942,-0.878733,0.867776,-0.423811,0.430607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
