position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
220,0,0,0,0,0,0,0,0,0,0,-1.398164,-1.395277,-0.494511,-0.500527,-0.539452,-0.538387,-1.291374,-1.287556,-1.346687,-1.34503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,-1.363148,-1.357743,-0.593163,-0.599822,-0.461122,-0.460533,-1.217432,-1.214722,-1.4986,-1.495599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,-1.337785,-1.330368,-0.658107,-0.665697,-0.42318,-0.422713,-1.152717,-1.150923,-1.601943,-1.597545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,-1.299931,-1.289753,-0.741891,-0.75111,-0.391585,-0.391101,-1.062193,-1.06143,-1.72541,-1.718869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,-1.252479,-1.239815,-0.833507,-0.844551,-0.37126,-0.37041,-0.974464,-0.974647,-1.831145,-1.822597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,-1.190001,-1.175308,-0.944624,-0.957455,-0.350457,-0.348845,-0.89843,-0.899245,-1.918154,-1.908128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,-1.129748,-1.114131,-1.047977,-1.062059,-0.327496,-0.325238,-0.853839,-0.85497,-1.969876,-1.959308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,-1.027285,-1.011179,-1.221733,-1.236835,-0.277403,-0.27376,-0.818366,-0.81935,-2.020701,-2.010474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,-0.900064,-0.884657,-1.443575,-1.45908,-0.193242,-0.188022,-0.802852,-0.803271,-2.039241,-2.030853,-0.043018,-0.043764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,-0.753386,-0.739743,-1.698966,-1.714054,-0.088526,-0.081506,-0.807676,-0.806989,-2.033419,-2.028177,-0.101475,-0.103185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,-0.636171,-0.623999,-1.900427,-1.915151,-0.005216,0.003472,-0.818933,-0.817175,-2.015,-2.01257,-0.155461,-0.157936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,-0.477346,-0.467822,-2.166952,-2.180553,0.100795,0.111326,-0.837053,-0.833713,-1.974161,-1.975689,-0.241139,-0.244611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,-0.32393,-0.317298,-2.412504,-2.424871,0.187747,0.200063,-0.850552,-0.845502,-1.917962,-1.923581,-0.34287,-0.347152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,-0.184583,-0.180782,-2.617103,-2.628084,0.241098,0.254632,-0.850995,-0.844222,-1.84986,-1.858941,-0.460733,-0.465717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,-0.094418,-0.092405,-2.731922,-2.741862,0.250226,0.264737,-0.837025,-0.829423,-1.793244,-1.804628,-0.560106,-0.565445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,-2.816676,-2.825456,0.209721,0.224731,-0.793569,-0.784823,-1.713166,-1.726378,-0.707438,-0.712888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
