position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
287,0,0,0,0,0,0,0,0,0,0,0,0,5.823628,5.846784,-3.873885,-3.90464,-4.093681,-4.115142,1.99791,2.039948,2.959264,2.964549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,5.516266,5.538482,-3.038819,-3.06665,-4.540285,-4.560248,1.574771,1.612076,3.356669,3.358546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,5.143573,5.165413,-2.164444,-2.188762,-4.941604,-4.959546,1.146018,1.177296,3.707895,3.706338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,4.74908,4.770909,-1.307942,-1.328484,-5.269265,-5.285022,0.718847,0.743371,3.994516,3.989809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,4.504482,4.526706,-0.673731,-0.691314,-5.453378,-5.467428,0.364533,0.384016,4.120163,4.113432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,4.176324,4.199074,0.013056,-0.000871,-5.584245,-5.596366,-0.039389,-0.026219,4.253493,4.24502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,3.955266,3.97871,0.551222,0.540743,-5.610002,-5.620551,-0.500064,-0.491888,4.213327,4.204116,0.299241,0.300663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,0,3.814131,3.838697,0.952125,0.944648,-5.516564,-5.526004,-0.966484,-0.962636,4.058205,4.049335,0.687778,0.690985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0,3.777158,3.802604,1.220526,1.215204,-5.368179,-5.376946,-1.34925,-1.347859,3.846107,3.837949,0.999806,1.004475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,3.705371,3.731421,1.455805,1.452911,-5.102841,-5.111482,-1.818503,-1.819894,3.548259,3.541529,1.484282,1.490856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,3.632112,3.65839,1.638169,1.637592,-4.762732,-4.771635,-2.286111,-2.289573,3.202901,3.197982,1.989687,1.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,3.527223,3.553212,1.798571,1.800159,-4.362881,-4.372405,-2.749517,-2.75457,2.832986,2.830104,2.489902,2.499634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,3.438544,3.464062,1.961177,1.964585,-4.014262,-4.024129,-3.117261,-3.123009,2.516564,2.51513,2.819879,2.830303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,3.203594,3.227664,2.155475,2.161473,-3.545403,-3.555834,-3.565562,-3.571627,2.159611,2.16028,3.247953,3.258814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,2.862814,2.884446,2.402816,2.411308,-3.057003,-3.068333,-3.999444,-4.005816,1.83651,1.838756,3.603728,3.614169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,2.436324,2.454846,2.690842,2.702101,-2.559554,-2.571507,-4.407168,-4.413202,1.542831,1.546515,3.885285,3.894691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,2.103111,2.119098,2.957432,2.970739,-2.158265,-2.170587,-4.702064,-4.707675,1.296831,1.301316,4.01784,4.026153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,1.600582,1.612789,3.268858,3.284477,-1.663994,-1.67675,-5.027528,-5.03253,1.031296,1.036797,4.175706,4.182357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,1.098449,1.10693,3.566957,3.584478,-1.186316,-1.199267,-5.289522,-5.293639,0.771049,0.777429,4.27067,4.275451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,0.628477,0.633347,3.832544,3.851218,-0.735081,-0.74799,-5.475333,-5.478649,0.507812,0.515074,4.308331,4.311355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,0.33775,0.34033,4.032528,4.051586,-0.3878,-0.400438,-5.562942,-5.565748,0.265385,0.273033,4.267297,4.269169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.194022,4.212662,-0.008154,-0.020174,-5.58618,-5.588465,-0.018661,-0.010383,4.223063,4.223707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.243518,4.261752,0.275509,0.264077,-5.570159,-5.572001,-0.397993,-0.389392,4.082334,4.081565,0.311556,0.312162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24392,4.258754,0.550147,0.540771,-5.457034,-5.458661,-0.827858,-0.818808,3.878203,3.877978,0.711119,0.709029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.243139,4.255998,0.791802,0.783932,-5.306085,-5.307321,-1.206543,-1.197258,3.658375,3.658502,1.028728,1.025609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142942,4.15272,1.059395,1.053472,-5.046423,-5.047387,-1.693028,-1.683617,3.377742,3.378697,1.516594,1.511922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.978907,3.987677,1.32858,1.324041,-4.719438,-4.72022,-2.194786,-2.185583,3.070929,3.073407,2.020773,2.014416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.749359,3.752981,1.604601,1.602511,-4.335481,-4.335572,-2.70209,-2.692795,2.750608,2.754863,2.516772,2.508658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.561591,3.563232,1.858046,1.857121,-3.999644,-3.999375,-3.102462,-3.09358,2.472412,2.478401,2.841767,2.832243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.209316,3.208864,2.158706,2.159014,-3.54561,-3.544568,-3.587332,-3.578908,2.159141,2.16796,3.260728,3.249496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.789781,2.787985,2.47861,2.47933,-3.06877,-3.067216,-4.044269,-4.037039,1.865578,1.87744,3.607245,3.594265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.322211,2.319737,2.806985,2.807681,-2.579908,-2.577742,-4.462484,-4.456546,1.588312,1.603511,3.880298,3.865683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.978339,1.975796,3.086244,3.086732,-2.183338,-2.180534,-4.75848,-4.753557,1.347345,1.365078,4.006942,3.991385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483065,1.480742,3.396861,3.396651,-1.694172,-1.690737,-5.079527,-5.076085,1.08214,1.103035,4.159116,4.142474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005446,1.003681,3.679261,3.678252,-1.220138,-1.215999,-5.332323,-5.33016,0.816519,0.840268,4.250563,4.233354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569385,0.568287,3.920407,3.918346,-0.771082,-0.766617,-5.506654,-5.505843,0.544849,0.570649,4.286883,4.26955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
